Длина файла в байтах: 441033
Длина файла в битах: 3528264
Таблица характеристик символов по алфавиту:
Символ: 0x75, Вхождений: 10340, Вероятность: 0.023445, Информация: 5.414579
Символ: 0x76, Вхождений: 3788, Вероятность: 0.008589, Информация: 6.863306
Символ: 0x77, Вхождений: 7335, Вероятность: 0.016631, Информация: 5.909946
Символ: 0x78, Вхождений: 675, Вероятность: 0.001530, Информация: 9.351783
Символ: 0x79, Вхождений: 7743, Вероятность: 0.017557, Информация: 5.831850
Символ: 0x7a, Вхождений: 243, Вероятность: 0.000551, Информация: 10.825715

Таблица характеристик символов по убыванию частоты:
Символ: 0x20, Вхождений: 74143, Вероятность: 0.168112, Информация: 2.572504
Символ: 0x65, Вхождений: 45717, Вероятность: 0.103659, Информация: 3.270084
Символ: 0x74, Вхождений: 29703, Вероятность: 0.067349, Информация: 3.892206
Символ: 0x61, Вхождений: 26315, Вероятность: 0.059667, Информация: 4.066929
Символ: 0x6f, Вхождений: 25049, Вероятность: 0.056796, Информация: 4.138062
Символ: 0x6e, Вхождений: 24218, Вероятность: 0.054912, Информация: 4.186735
Символ: 0x69, Вхождений: 21410, Вероятность: 0.048545, Информация: 4.364530
Символ: 0x73, Вхождений: 20807, Вероятность: 0.047178, Информация: 4.405746
Символ: 0x72, Вхождений: 20706, Вероятность: 0.046949, Информация: 4.412766
Символ: 0x68, Вхождений: 19399, Вероятность: 0.043985, Информация: 4.506832
Символ: 0x64, Вхождений: 16719, Вероятность: 0.037909, Информация: 4.721326
Символ: 0x6c, Вхождений: 12603, Вероятность: 0.028576, Информация: 5.129048
Символ: 0x75, Вхождений: 10340, Вероятность: 0.023445, Информация: 5.414579
Символ: 0x6d, Вхождений: 10295, Вероятность: 0.023343, Информация: 5.420871
Символ: 0x63, Вхождений: 9053, Вероятность: 0.020527, Информация: 5.606347
Символ: 0x66, Вхождений: 8516, Вероятность: 0.019309, Информация: 5.694567
Символ: 0x79, Вхождений: 7743, Вероятность: 0.017557, Информация: 5.831850
Символ: 0x0a, Вхождений: 7653, Вероятность: 0.017352, Информация: 5.848717
Символ: 0x77, Вхождений: 7335, Вероятность: 0.016631, Информация: 5.909946
Символ: 0x70, Вхождений: 5939, Вероятность: 0.013466, Информация: 6.214523
Символ: 0x67, Вхождений: 5761, Вероятность: 0.013063, Информация: 6.258424
Символ: 0x2c, Вхождений: 5097, Вероятность: 0.011557, Информация: 6.435094
Символ: 0x62, Вхождений: 4766, Вероятность: 0.010806, Информация: 6.531964
Символ: 0x76, Вхождений: 3788, Вероятность: 0.008589, Информация: 6.863306
Символ: 0x49, Вхождений: 3203, Вероятность: 0.007262, Информация: 7.105319
Символ: 0x2e, Вхождений: 3124, Вероятность: 0.007083, Информация: 7.141348
Символ: 0x6b, Вхождений: 1722, Вероятность: 0.003904, Информация: 8.000658
Символ: 0x3b, Вхождений: 970, Вероятность: 0.002199, Информация: 8.828686
Символ: 0x22, Вхождений: 796, Вероятность: 0.001805, Информация: 9.113902
Символ: 0x78, Вхождений: 675, Вероятность: 0.001530, Информация: 9.351783
Символ: 0x54, Вхождений: 661, Вероятность: 0.001499, Информация: 9.382021
Символ: 0x2d, Вхождений: 445, Вероятность: 0.001009, Информация: 9.952866
Символ: 0x6a, Вхождений: 431, Вероятность: 0.000977, Информация: 9.998983
Символ: 0x41, Вхождений: 428, Вероятность: 0.000970, Информация: 10.009060
Символ: 0x53, Вхождений: 348, Вероятность: 0.000789, Информация: 10.307584
Символ: 0x45, Вхождений: 326, Вероятность: 0.000739, Информация: 10.401799
